K04-024-1;;1;10 267,00;;;
TN-FLP-7643147;B58;2;3 159,00;;;
EAW-002;червь B;19;1 106,00;;;
TH-G049;;2;4 107,00;;;
TH-K253;;1;5 528,00;;;
TD04-091;;2;6 002,00;;;
GT40-035;;4;8 213,00;;;
GT14-085B;;1;7 898,00;;;
R2S-041-LB;;1;8 687,00;;;
GT17-202BR;;1;9 161,00;;;
B0-009B;;1;6 950,00;;;
Co-010BR;;1;11 057,00;;;
AC-G466e;;1;6 002,00;;;
AC-G724eh;;1;7 898,00;;;
AC-G726eh;;1;8 055,00;;;
AC-BW027e;;1;60 811,00;;;
TN-AC-K199-1eh;59001107265\6nw010430-34;1;7 582,00;;;
TN-AC-G943e;;1;7 266,00;;;
TN-AC-G337e;;1;11 057,00;;;
TF035-048B;;1;6 634,00;;;
CW-1885BR;;1;1 580,00;;;
NR-N108-3;;1;6 002,00;;;
TN-FLP-N63-1;840069;2;1 895,00;;;
TN-RHF4-099;vp71/1118010-a02-aa/jqp53;1;8 529,00;;;
GT14-030;;1;7 582,00;;;
GT12-039B;;1;7 740,00;;;
TN-HE4-007B;;1;61 443,00;;;
AC-BW025e;;1;7 740,00;;;
T2-074;;1;5 528,00;;;
TN-GT884750;884750-0002;1;13 426,00;;;
NR-N089-4;;1;6 476,00;;;
NR-N124-1R;;2;5 686,00;;;
R2S-041-HBR;;1;9 003,00;;;
GT20-063;;1;6 792,00;;;
GT12-033-1B;;1;7 108,00;;;
GT14-088B;;2;7 108,00;;;
TN-RHF5-045;;1;7 424,00;;;
TN-HX-131;3599492;1;8 529,00;;;
GT17-090;;1;7 266,00;;;
T2-131;;1;6 476,00;;;
TH-K204;;1;3 791,00;;;
TN-TH-I332;VJ24;1;4 344,00;;;
AC-G504eh;;1;4 107,00;;;
GT14-082B;;1;8 845,00;;;
GT14-086B;;2;8 687,00;;;
GT17-227B;;3;14 373,00;;;
GT32-019-1;;2;9 161,00;;;
GT14-099B;;1;8 529,00;;;
R2S-063-LBR;;3;13 110,00;;;
RHF3-034-1B;;1;9 477,00;;;
RHF4-127;;2;8 687,00;;;
R2S-067-LB;;2;13 900,00;;;
R2S-067-1HB;;2;9 793,00;;;
AC-GW001e;;1;7 266,00;;;
TN-FLP-124;1761178;2;1 895,00;;;
AC-I174eh;;1;9 319,00;;;
AC-K331e;;2;;;;
AC-K331-2e;;2;10 899,00;;;
AC-I217e;;1;4 739,00;;;
K03-026;;1;6 160,00;;;
KP39-019B;;1;6 318,00;;;
RHF4-082;;2;7 740,00;;;
NR-N163;;1;12 004,00;;;
TN-Turbo-S294;AL-2013, A4710903480;1;81 344,00;;;
B3-014B;;1;21 481,00;;;
CT12-008;;1;7 266,00;;;
K03-025;;1;6 002,00;;;
NGT-029BR;;2;8 371,00;;;
RHF5-131B;;3;9 793,00;;;
TF035-VG12-1B;;2;7 582,00;;;
Q;;1;;;;
AC-BW005e;AC-BW005e;1;6 318,00;;;
TD04-159BR;TD04-159BR;2;6 792,00;;;
TN-CHRA-C1292;С12-092;1;18 638,00;;;
TF035-VG11;;2;8 371,00;;;
BV55-000B;;1;18 480,00;;;
B01-011B;;1;7 898,00;;;
GT37-014;;1;9 319,00;;;
RHF3-021;;2;7 898,00;;;
GT12-063-1B;;1;8 213,00;;;
