1000-010-006;716938-0001;GT17-013
1000-010-008;703245-0001/2,717345-0002,751768-0003/4;GT15-001
1000-010-009;454083-0002/454093-0003/454098-0002/454159-0002/454187-0001/706120-0001;GT15-008
1000-010-010;454207-0001/454193-0002;T2-024
1000-010-012;452065-0003 /758817-0001;T2-018
1000-010-014;466898-0006;T2-050
1000-010-017;452109-0006/703072-0003;GT42-002
1000-010-017B;452109-0007/452109-0004/452109-0002;GT42-017
1000-010-018;452213-0003;GT15-044
1000-010-019;715843-0001/715924-0001;GT17-005
1000-010-021;465044-0051/465044-0052/465044-0251;T4-053
1000-010-022;708337-0001/708337-0002;GT17-029
1000-010-023;466501-0002/466501-0003/466501-0004/466501-0005/471037-0002;GT17-032
1000-010-030;454154-0001;T2-001
1000-010-037;717858-0001/717858-0007/729041-0009/758219-0002/758219-0003;GT15-014
1000-010-037T;717858-0007/717858-0001;GT15-014
1000-010-044;750431-0006/750431-0009/750431-0012;GT15-038
1000-010-046;708639-0002/708639-0010;GT15-012
1000-010-049;700830-0001;GT15-007
1000-010-050;707240-0001;GT15P-000
1000-010-053;454232-0009/1/3/4/5,701855-0005,713672-0001/2/3/4/5,713673-0002;GT15-019
1000-010-055;713673-0002;GT15-029
1000-010-056;454231-0001/454231-0003/454231-0004/454231-0007;GT15-020
1000-010-056B;454231-0005/6/8/9, 701854-0002/4;GT15-024
1000-010-056C;454231-0002;GT15-024
1000-010-057;454191-0006;GT25-001
1000-010-100;708837-0001/712290-0001 /724961-0001/727211-0001;GT12-000
1000-010-101;454161-0001 /454161-0003;GT15-026
1000-010-102;713517-0012/802418-0002;GT15-039
1000-010-103;712766-0001;GT17-009
1000-010-104;454135-0001/454135-0002/454135-0006;GT15-017
1000-010-105;704361-0004/704361-0005/704361-0006;GT22-007
1000-010-106;717478-0001/717478-0002/717478-0003;GT17-000
1000-010-108;753420-0002/750030-0001/762328-0002;GT15-028
1000-010-109;710811-0001/710812-0001;GT22-017
1000-010-110;729853-0002;GT17-051
1000-010-111;706499-0004/756919-0002;GT15-053
1000-010-112;454192-0001 /454192-0005;GT22-015
1000-010-114;709836-0001/3/4,726698-0003/2/1,711006-0001;GT15-033
1000-010-114B;778794-0001;GT18-004
1000-010-115;709837-0002/709838-0004/709838-0005/709838-0015;GT22-001
1000-010-118;721164-0003;GT17-001
1000-010-118B;801891-0002/801891-0001;GT17-001
1000-010-119;731320-0001;GT20-016
1000-010-122;759688-0005/759688-0007;GT17-058
1000-010-123;707114-0001;GT22-000-C
1000-010-123B;751758-0002;GT22-000
1000-010-123C;750510-0001;GT22-051
