B03-008B;;1;9 044,00;1
CT-VNT-1B;;4;6 237,00;1
GT14-076B;;2;7 173,00;1
GT15-026;;2;5 301,00;1
GT20-070B;;1;9 044,00;
RK-KA13-1;;4;1 559,00;1
TH-I134;;3;4 678,00;1
TN-CHRA-PSH0008865;;3;9 356,00;1
TN-Turbo-G094;REFONE;1;15 125,00;1
Turbo-G091;;1;10 603,00;1
Turbo-G117;;1;24 948,00;1
AC-BM002;;1;1 715,00;
AC-BM003-1e;;3;9 044,00;
AC-BW005e;AC-BW005e;1;6 237,00;
AC-BW007;;1;1 637,00;
AC-BW008;;1;1 793,00;1
AC-BW009;;1;1 435,00;1
AC-BW025e;;1;7 640,00;
AC-BW027e;;1;60 031,00;
AC-BW038e;;1;6 237,00;1
AC-CZ002;;6;1 279,00;1
AC-CZ002-1;;4;1 559,00;1
AC-G024;;1;1 169,00;
AC-G037;;1;1 559,00;1
AC-G037-2;;2;1 497,00;
AC-G043;;2;1 169,00;1
AC-G066eh;757608;2;6 861,00;1
AC-G072;;2;1 715,00;
AC-G076;;1;1 403,00;1
AC-G082;;1;1 715,00;
AC-G084;;1;1 715,00;1
AC-G085;;1;1 247,00;1
AC-G088;;1;1 341,00;
AC-G112;;1;1 481,00;1
AC-G147-1ev;;1;3 274,00;
AC-G150-2eh;;1;4 054,00;1
AC-G150eh;;2;3 586,00;1
AC-G152eh;;1;4 054,00;1
AC-G209;;1;1 403,00;
AC-G216-2e;;3;4 366,00;
AC-G216e;;1;4 678,00;1
AC-G218-2eh;;1;5 769,00;1
AC-G218eh;;2;6 549,00;1
AC-G222eh;;2;7 017,00;
AC-G224eh;;1;6 705,00;1
AC-G228eh;;1;7 173,00;1
AC-G234-1eh;;1;7 640,00;
AC-G244eh;;2;4 054,00;1
AC-G245eh;;3;4 054,00;
AC-G246eh;;2;7 952,00;
AC-G247eh;;1;7 952,00;
AC-G250eh;;2;4 054,00;1
AC-G258eh;;1;6 861,00;
AC-G261-1eh;AC-G424eh;1;6 861,00;
AC-G261eh;;2;7 328,00;1
AC-G262eh;;1;7 328,00;1
AC-G263eh;;1;6 861,00;1
AC-G266e;;2;4 678,00;1
AC-G267-2ev;;1;3 274,00;
AC-G275-1ev;;2;2 885,00;
AC-G276e;;2;9 979,00;1
AC-G282e;;3;4 834,00;1
AC-G285;;1;2 183,00;1
AC-G292eh;;1;4 366,00;1
AC-G293-1eh;;2;7 017,00;1
AC-G294eh;;1;4 132,00;1
AC-G296-1ev;;2;1 871,00;1
AC-G296e;Старое AC-G273e;3;4 834,00;1
AC-G299e;;1;4 990,00;
AC-G301e;;1;4 990,00;1
AC-G302eh;;1;7 328,00;1
AC-G310-1e;;1;5 613,00;
AC-G322eh;;1;7 796,00;
AC-G323;;1;1 715,00;
AC-G346eh;;2;5 613,00;1
AC-G383eh;;3;4 210,00;1
AC-G385-1eh;;1;6 393,00;1
AC-G385eh;;1;6 237,00;
AC-G387eh;;1;6 861,00;
AC-G388eh;;1;4 054,00;
AC-G392eh;;1;7 640,00;1
AC-G393eh;AC-G263-1eh;2;7 328,00;
AC-G394eh;;3;6 705,00;1
AC-G397eh;;1;7 328,00;
AC-G404eh;;2;5 613,00;1
AC-G419-1ev;;1;2 183,00;
AC-G466e;;1;5 925,00;1
AC-G481eh;;1;4 054,00;1
AC-G504eh;;1;4 054,00;
AC-G505eh;;2;3 742,00;1
AC-G509e;;3;9 667,00;1
AC-G510e;;2;9 979,00;1
AC-G522eh;;1;7 796,00;
AC-G628eh;;1;4 210,00;
AC-G724eh;;1;7 796,00;
AC-G726eh;;1;7 952,00;
AC-GW001e;;1;7 173,00;1
AC-H002;;1;1 123,00;1
AC-H003;;1;1 123,00;1
AC-H005;;1;1 123,00;1
AC-H008;;1;5 925,00;1
AC-H015-2e;;1;62 370,00;
AC-H073-1e;;1;60 031,00;
AC-I008;;1;1 871,00;
AC-I021;;2;1 247,00;
AC-I026;;1;1 481,00;1
AC-I038;;1;1 107,00;1
AC-I040e;Старое AC-I073e;1;6 237,00;1
AC-I074e;;2;7 173,00;1
AC-I078;;2;2 105,00;1
AC-I085e;;2;9 511,00;1
AC-I091-1;;2;1 279,00;1
AC-I091-2;;9;1 169,00;1
AC-I097;Старое AC-I091-3;2;1 247,00;1
